taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2879543	Quercus wangsaiensis Barnett	2879541	Quercus quangtriensis Hickel & A.Camus	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus quangtriensis	2879541	
2879925	Quercus dumosa var. bullata Engelm.	2879924	Quercus durata var. durata	9	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus durata	2879923	
3906113	Quercus × rechingeri O.Schwarz	3906113	Quercus × rechingeri O.Schwarz	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus rechingeri	3906113	
2879061	Quercus dumosa var. acutidens (Torr.) Wenz.	2879060	Quercus × acutidens Torr.	1	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus acutidens	2879060	
2878000	Quercus rhodophlebia f. crenata Trel.	8386328	Quercus rugosa Née	5	FORM	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus rugosa	8386328	
2877916	Quercus × mairei A.Camus	2881133	Quercus × neomairei A.Camus	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus neomairei	2881133	
2880129	Quercus × shirlingii Bush	2880128	Quercus × moultonensis Ashe	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus moultonensis	2880128	
2881612	Quercus glauca var. linearifolia Koidz.	2876873	Quercus glauca Thunb.	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus glauca	2876873	
2878759	Quercus speciensis Dippel	2878725	Quercus robur subsp. robur	4	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus robur	2878688	
2878028	Quercus falcata var. subintegra Engelm.	2878027	Quercus × subintegra (Engelm.) Trel.	2	VARIETY	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus subintegra	2878027	
7780861	Quercus castaneifolia Coss. ex J.Gay	2878062	Quercus afares Pomel	6	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus afares	2878062	
10683230	Quercus protoroburoides Donchev & Bouzov ex Tashev & Tsavkov	10683230	Quercus protoroburoides Donchev & Bouzov ex Tashev & Tsavkov	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus protoroburoides	10683230	DD
2878054	Quercus villosa Walter	8879961	Quercus stellata Wangenh.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus stellata	8879961	
2880488	Quercus lanuginosa subsp. dalechampii (Ten.) A.Camus	2880461	Quercus dalechampii Ten.	2	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus dalechampii	2880461	
3906278	Quercus pseudoaegilops Petz., 1864	3906278	Quercus pseudoaegilops Petz., 1864	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus pseudoaegilops	3906278	
2878853	Quercus brutia subsp. haas (Kotschy) O.Schwarz	2878725	Quercus robur subsp. robur	2	SUBSPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fagales	1354	Fagaceae	4689	Quercus	2877951	Quercus robur	2878688	
